evaluation_split,record_id,source_image,noise_level,error_types,changed_fields,product_count,gt_seller_company_name,noisy_seller_company_name,gt_seller_vat_no,noisy_seller_vat_no,gt_seller_address,noisy_seller_address,gt_buyer_company_name,noisy_buyer_company_name,gt_buyer_name,noisy_buyer_name,gt_buyer_country,noisy_buyer_country,gt_buyer_address,noisy_buyer_address,gt_invoice_number,noisy_invoice_number,gt_invoice_date,noisy_invoice_date,gt_payment_sub_total,noisy_payment_sub_total,gt_payment_discount_amount,noisy_payment_discount_amount,gt_payment_discount_percentage,noisy_payment_discount_percentage,gt_payment_due,noisy_payment_due,gt_payment_total,noisy_payment_total,gt_products_json,noisy_products_json
validation,2909,20908.png,low,small_amount_delta|transposed_characters,products.1.quantity|products.0.description,7,"Perkins, Brown and Mccarthy","Perkins, Brown and Mccarthy",,,"76004 Jeanne Bypass Apt. 957 Port Megan, SD 49566","76004 Jeanne Bypass Apt. 957 Port Megan, SD 49566",Harris-Parrish,Harris-Parrish,Linda Miller,Linda Miller,,,"36549 Patrick Park New Chelseahaven, FL 78722","36549 Patrick Park New Chelseahaven, FL 78722",FFE83462369387,FFE83462369387,14.08.2021,14.08.2021,,,,,,,,,,,"[{""amount"": 76.33, ""description"": ""grow distributed content"", ""index"": ""8"", ""quantity"": 5.29, ""unit_price"": 39.37}, {""amount"": 205.43, ""description"": ""cultivate transparent relationships"", ""index"": ""5"", ""quantity"": 7.94, ""unit_price"": 55.9}, {""amount"": 274.63, ""description"": ""reinvent 24/365 channels"", ""index"": ""1"", ""quantity"": 5.88, ""unit_price"": 60.57}, {""amount"": 454.48, ""description"": ""implement robust communities"", ""index"": ""9"", ""quantity"": 1.94, ""unit_price"": 88.73}, {""amount"": 367.5, ""description"": ""implement frictionless networks"", ""index"": ""5"", ""quantity"": 2.78, ""unit_price"": 66.27}, {""amount"": 114.58, ""description"": ""synergize seamless content"", ""index"": ""8"", ""quantity"": 7.85, ""unit_price"": 72.86}, {""amount"": 54.68, ""description"": ""revolutionize next-generation platforms"", ""index"": ""10"", ""quantity"": 5.24, ""unit_price"": 79.72}]","[{""amount"": 76.33, ""description"": ""grow distributed cotnent"", ""index"": ""8"", ""quantity"": 5.29, ""unit_price"": 39.37}, {""amount"": 205.43, ""description"": ""cultivate transparent relationships"", ""index"": ""5"", ""quantity"": 5.69, ""unit_price"": 55.9}, {""amount"": 274.63, ""description"": ""reinvent 24/365 channels"", ""index"": ""1"", ""quantity"": 5.88, ""unit_price"": 60.57}, {""amount"": 454.48, ""description"": ""implement robust communities"", ""index"": ""9"", ""quantity"": 1.94, ""unit_price"": 88.73}, {""amount"": 367.5, ""description"": ""implement frictionless networks"", ""index"": ""5"", ""quantity"": 2.78, ""unit_price"": 66.27}, {""amount"": 114.58, ""description"": ""synergize seamless content"", ""index"": ""8"", ""quantity"": 7.85, ""unit_price"": 72.86}, {""amount"": 54.68, ""description"": ""revolutionize next-generation platforms"", ""index"": ""10"", ""quantity"": 5.24, ""unit_price"": 79.72}]"
validation,2911,20910.png,medium,product_description_replace|digit_transposition|small_amount_delta|ocr_char_confusion,products.2.description|products.0.quantity|products.1.unit_price|buyer.company_name,3,Hendrix-Allen,Hendrix-Allen,,,"09559 Lin Manors Apt. 151 Rubiobury, NH 21988","09559 Lin Manors Apt. 151 Rubiobury, NH 21988",Wise and Sons,Wise and 5ons,Mark Sanchez,Mark Sanchez,,,"4843 Kennedy Forest Apt. 273 New Jessica, HI 20751","4843 Kennedy Forest Apt. 273 New Jessica, HI 20751",oXi92123266284,oXi92123266284,25.05.2012,25.05.2012,,,,,,,,,,,"[{""amount"": 100.7, ""description"": ""revolutionize cutting-edge interfaces"", ""index"": ""7"", ""quantity"": 9.62, ""unit_price"": 37.23}, {""amount"": 186.28, ""description"": ""benchmark leading-edge e-tailers"", ""index"": ""5"", ""quantity"": 5.45, ""unit_price"": 26.84}, {""amount"": 283.21, ""description"": ""re-contextualize cross-media methodologies"", ""index"": ""5"", ""quantity"": 7.91, ""unit_price"": 91.02}]","[{""amount"": 100.7, ""description"": ""revolutionize cutting-edge interfaces"", ""index"": ""7"", ""quantity"": 9.26, ""unit_price"": 37.23}, {""amount"": 186.28, ""description"": ""benchmark leading-edge e-tailers"", ""index"": ""5"", ""quantity"": 5.45, ""unit_price"": 27.83}, {""amount"": 283.21, ""description"": ""implement integrated solutions"", ""index"": ""5"", ""quantity"": 7.91, ""unit_price"": 91.02}]"
test,2912,20911.png,medium,ocr_char_confusion|decimal_rounding|digit_transposition|ocr_char_confusion|transposed_characters|decimal_rounding,seller.company_name|products.0.unit_price|products.2.unit_price|seller.address|products.2.description|products.1.quantity,6,Brown-Stevens,Brown-5tevens,,,"78427 Ford Land Lake Veronica, KY 58975","78427 Ford Land Lake Veronica, KY 5897S",Chavez Group,Chavez Group,Victoria Anthony,Victoria Anthony,,,"3851 Daniel Valleys Apt. 704 New Kelly, ND 54985","3851 Daniel Valleys Apt. 704 New Kelly, ND 54985",ZhW95031604189,ZhW95031604189,03.08.2009,03.08.2009,,,,,,,,,,,"[{""amount"": 59.74, ""description"": ""grow B2B supply-chains"", ""index"": ""2"", ""quantity"": 9.13, ""unit_price"": 32.64}, {""amount"": 16.66, ""description"": ""enable 24/365 solutions"", ""index"": ""8"", ""quantity"": 5.82, ""unit_price"": 99.15}, {""amount"": 459.49, ""description"": ""architect distributed portals"", ""index"": ""4"", ""quantity"": 6.0, ""unit_price"": 21.06}, {""amount"": 365.65, ""description"": ""generate visionary markets"", ""index"": ""8"", ""quantity"": 6.14, ""unit_price"": 41.19}, {""amount"": 406.6, ""description"": ""implement magnetic platforms"", ""index"": ""10"", ""quantity"": 3.32, ""unit_price"": 52.99}, {""amount"": 254.82, ""description"": ""engage value-added solutions"", ""index"": ""3"", ""quantity"": 6.32, ""unit_price"": 43.23}]","[{""amount"": 59.74, ""description"": ""grow B2B supply-chains"", ""index"": ""2"", ""quantity"": 9.13, ""unit_price"": 33.0}, {""amount"": 16.66, ""description"": ""enable 24/365 solutions"", ""index"": ""8"", ""quantity"": 5.8, ""unit_price"": 99.15}, {""amount"": 459.49, ""description"": ""architect ditsributed portals"", ""index"": ""4"", ""quantity"": 6.0, ""unit_price"": 21.6}, {""amount"": 365.65, ""description"": ""generate visionary markets"", ""index"": ""8"", ""quantity"": 6.14, ""unit_price"": 41.19}, {""amount"": 406.6, ""description"": ""implement magnetic platforms"", ""index"": ""10"", ""quantity"": 3.32, ""unit_price"": 52.99}, {""amount"": 254.82, ""description"": ""engage value-added solutions"", ""index"": ""3"", ""quantity"": 6.32, ""unit_price"": 43.23}]"
test,2917,20916.png,low,missing_character|digit_transposition,buyer.address|products.0.quantity,1,Parker-Jackson,Parker-Jackson,,,"699 Collins Ports Apt. 710 North Alexanderhaven, CT 71995","699 Collins Ports Apt. 710 North Alexanderhaven, CT 71995",Ortega-Hinton,Ortega-Hinton,Jeffrey Miller,Jeffrey Miller,,,"07580 Rebecca Fort Suite 075 Donaldberg, CO 63789","07580 ebecca Fort Suite 075 Donaldberg, CO 63789",LEm35035633827,LEm35035633827,01.08.2019,01.08.2019,,,,,,,,,,,"[{""amount"": 169.02, ""description"": ""re-intermediate 24/7 portals"", ""index"": ""3"", ""quantity"": 2.02, ""unit_price"": 37.76}]","[{""amount"": 169.02, ""description"": ""re-intermediate 24/7 portals"", ""index"": ""3"", ""quantity"": 2.2, ""unit_price"": 37.76}]"
test,2927,20926.png,low,product_description_replace,products.4.description,5,Martinez-Taylor,Martinez-Taylor,,,"PSC 7973, Box 5646 APO AA 18089","PSC 7973, Box 5646 APO AA 18089","Smith, Smith and Gordon","Smith, Smith and Gordon",Katherine Lawrence,Katherine Lawrence,,,"4051 Ronald Streets Apt. 408 North Donnashire, ND 73787","4051 Ronald Streets Apt. 408 North Donnashire, ND 73787",eaP93905863306,eaP93905863306,29.11.2012,29.11.2012,,,,,,,,,,,"[{""amount"": 227.32, ""description"": ""transition cutting-edge e-services"", ""index"": ""8"", ""quantity"": 8.41, ""unit_price"": 70.46}, {""amount"": 274.65, ""description"": ""empower distributed relationships"", ""index"": ""6"", ""quantity"": 1.01, ""unit_price"": 48.18}, {""amount"": 470.17, ""description"": ""grow scalable networks"", ""index"": ""7"", ""quantity"": 5.18, ""unit_price"": 29.02}, {""amount"": 56.66, ""description"": ""extend extensible models"", ""index"": ""8"", ""quantity"": 6.64, ""unit_price"": 81.36}, {""amount"": 489.85, ""description"": ""iterate interactive architectures"", ""index"": ""6"", ""quantity"": 2.55, ""unit_price"": 12.07}]","[{""amount"": 227.32, ""description"": ""transition cutting-edge e-services"", ""index"": ""8"", ""quantity"": 8.41, ""unit_price"": 70.46}, {""amount"": 274.65, ""description"": ""empower distributed relationships"", ""index"": ""6"", ""quantity"": 1.01, ""unit_price"": 48.18}, {""amount"": 470.17, ""description"": ""grow scalable networks"", ""index"": ""7"", ""quantity"": 5.18, ""unit_price"": 29.02}, {""amount"": 56.66, ""description"": ""extend extensible models"", ""index"": ""8"", ""quantity"": 6.64, ""unit_price"": 81.36}, {""amount"": 489.85, ""description"": ""transform world-class vortals"", ""index"": ""6"", ""quantity"": 2.55, ""unit_price"": 12.07}]"
test,2928,20927.png,low,case_variation|decimal_rounding|missing_character,seller.company_name|products.2.quantity|invoice.number,3,Clark-Perkins,clark-perkins,,,"7254 Morris Village Suite 089 North Hannah, MI 29108","7254 Morris Village Suite 089 North Hannah, MI 29108",Blair Inc,Blair Inc,Emily Velasquez,Emily Velasquez,,,"405 Anderson Well Christopherport, NJ 90858","405 Anderson Well Christopherport, NJ 90858",bSK79818408356,bSK7981840356,14.08.1991,14.08.1991,,,,,,,,,,,"[{""amount"": 495.04, ""description"": ""synergize strategic mindshare"", ""index"": ""3"", ""quantity"": 9.45, ""unit_price"": 17.38}, {""amount"": 76.15, ""description"": ""whiteboard cross-platform systems"", ""index"": ""8"", ""quantity"": 4.51, ""unit_price"": 72.15}, {""amount"": 468.86, ""description"": ""maximize holistic web services"", ""index"": ""4"", ""quantity"": 4.59, ""unit_price"": 81.34}]","[{""amount"": 495.04, ""description"": ""synergize strategic mindshare"", ""index"": ""3"", ""quantity"": 9.45, ""unit_price"": 17.38}, {""amount"": 76.15, ""description"": ""whiteboard cross-platform systems"", ""index"": ""8"", ""quantity"": 4.51, ""unit_price"": 72.15}, {""amount"": 468.86, ""description"": ""maximize holistic web services"", ""index"": ""4"", ""quantity"": 4.6, ""unit_price"": 81.34}]"
validation,2930,20929.png,medium,decimal_rounding|missing_character|small_amount_delta|ocr_char_confusion,products.2.unit_price|invoice.number|products.1.quantity|buyer.company_name,7,Jackson Group,Jackson Group,,,"24608 Ellis Hills Suite 534 Navarroville, ND 47351","24608 Ellis Hills Suite 534 Navarroville, ND 47351",Keller-Mcdowell,Keller-Mcdowel1,Brenda Hernandez,Brenda Hernandez,,,"864 Compton Cove Hoganhaven, AS 60103","864 Compton Cove Hoganhaven, AS 60103",egw96067094606,ew96067094606,08.11.1996,08.11.1996,,,,,,,,,,,"[{""amount"": 425.03, ""description"": ""optimize clicks-and-mortar portals"", ""index"": ""7"", ""quantity"": 2.83, ""unit_price"": 91.07}, {""amount"": 156.57, ""description"": ""architect bricks-and-clicks technologies"", ""index"": ""4"", ""quantity"": 3.58, ""unit_price"": 34.98}, {""amount"": 490.58, ""description"": ""transition seamless content"", ""index"": ""3"", ""quantity"": 4.15, ""unit_price"": 28.01}, {""amount"": 36.32, ""description"": ""integrate ubiquitous e-markets"", ""index"": ""10"", ""quantity"": 1.75, ""unit_price"": 82.31}, {""amount"": 76.52, ""description"": ""engineer user-centric platforms"", ""index"": ""6"", ""quantity"": 8.21, ""unit_price"": 87.67}, {""amount"": 414.95, ""description"": ""whiteboard killer relationships"", ""index"": ""7"", ""quantity"": 1.66, ""unit_price"": 53.78}, {""amount"": 17.27, ""description"": ""re-intermediate scalable architectures"", ""index"": ""2"", ""quantity"": 9.97, ""unit_price"": 47.52}]","[{""amount"": 425.03, ""description"": ""optimize clicks-and-mortar portals"", ""index"": ""7"", ""quantity"": 2.83, ""unit_price"": 91.07}, {""amount"": 156.57, ""description"": ""architect bricks-and-clicks technologies"", ""index"": ""4"", ""quantity"": 5.11, ""unit_price"": 34.98}, {""amount"": 490.58, ""description"": ""transition seamless content"", ""index"": ""3"", ""quantity"": 4.15, ""unit_price"": 28.0}, {""amount"": 36.32, ""description"": ""integrate ubiquitous e-markets"", ""index"": ""10"", ""quantity"": 1.75, ""unit_price"": 82.31}, {""amount"": 76.52, ""description"": ""engineer user-centric platforms"", ""index"": ""6"", ""quantity"": 8.21, ""unit_price"": 87.67}, {""amount"": 414.95, ""description"": ""whiteboard killer relationships"", ""index"": ""7"", ""quantity"": 1.66, ""unit_price"": 53.78}, {""amount"": 17.27, ""description"": ""re-intermediate scalable architectures"", ""index"": ""2"", ""quantity"": 9.97, ""unit_price"": 47.52}]"
validation,2933,20932.png,low,date_format_variation|missing_character|ocr_char_confusion,invoice.date|invoice.number|seller.address,7,Henry PLC,Henry PLC,,,"19812 Brown Mission Suite 604 East Robertmouth, SD 21495","19812 Brown Mission Suite 604 East Robertmouth, SD Z1495",Bishop Ltd,Bishop Ltd,Joel Schmidt,Joel Schmidt,,,"7510 Corey Squares Suite 620 Lake Leahfurt, SC 21743","7510 Corey Squares Suite 620 Lake Leahfurt, SC 21743",dRi71414645255,dRi7141465255,17.06.1997,17/06/1997,,,,,,,,,,,"[{""amount"": 102.13, ""description"": ""visualize visionary infrastructures"", ""index"": ""8"", ""quantity"": 9.89, ""unit_price"": 99.02}, {""amount"": 131.17, ""description"": ""streamline dynamic channels"", ""index"": ""7"", ""quantity"": 3.98, ""unit_price"": 93.39}, {""amount"": 51.5, ""description"": ""leverage B2B relationships"", ""index"": ""6"", ""quantity"": 8.59, ""unit_price"": 44.85}, {""amount"": 106.74, ""description"": ""streamline proactive info-mediaries"", ""index"": ""8"", ""quantity"": 8.54, ""unit_price"": 99.47}, {""amount"": 387.05, ""description"": ""harness clicks-and-mortar interfaces"", ""index"": ""4"", ""quantity"": 3.43, ""unit_price"": 83.5}, {""amount"": 94.81, ""description"": ""streamline magnetic e-services"", ""index"": ""3"", ""quantity"": 1.71, ""unit_price"": 19.19}, {""amount"": 383.84, ""description"": ""re-contextualize end-to-end technologies"", ""index"": ""4"", ""quantity"": 5.57, ""unit_price"": 95.01}]","[{""amount"": 102.13, ""description"": ""visualize visionary infrastructures"", ""index"": ""8"", ""quantity"": 9.89, ""unit_price"": 99.02}, {""amount"": 131.17, ""description"": ""streamline dynamic channels"", ""index"": ""7"", ""quantity"": 3.98, ""unit_price"": 93.39}, {""amount"": 51.5, ""description"": ""leverage B2B relationships"", ""index"": ""6"", ""quantity"": 8.59, ""unit_price"": 44.85}, {""amount"": 106.74, ""description"": ""streamline proactive info-mediaries"", ""index"": ""8"", ""quantity"": 8.54, ""unit_price"": 99.47}, {""amount"": 387.05, ""description"": ""harness clicks-and-mortar interfaces"", ""index"": ""4"", ""quantity"": 3.43, ""unit_price"": 83.5}, {""amount"": 94.81, ""description"": ""streamline magnetic e-services"", ""index"": ""3"", ""quantity"": 1.71, ""unit_price"": 19.19}, {""amount"": 383.84, ""description"": ""re-contextualize end-to-end technologies"", ""index"": ""4"", ""quantity"": 5.57, ""unit_price"": 95.01}]"
validation,2936,20935.png,medium,case_variation|transposed_characters|extra_space|digit_transposition,seller.address|products.0.description|buyer.address|products.0.quantity,7,Calderon-Shaw,Calderon-Shaw,,,"442 Crystal Island Suite 037 North Anthonyville, CT 80633","442 crystal island suite 037 north anthonyville, ct 80633",Zavala Ltd,Zavala Ltd,Brianna Mckenzie,Brianna Mckenzie,,,"99249 Wilson Trafficway Apt. 279 Quinnberg, MP 39421","99249 Wilson Trafficway Apt.  279 Quinnberg, MP 39421",lyo51402407248,lyo51402407248,10.01.1992,10.01.1992,,,,,,,,,,,"[{""amount"": 173.72, ""description"": ""brand integrated functionalities"", ""index"": ""6"", ""quantity"": 6.26, ""unit_price"": 42.92}, {""amount"": 289.21, ""description"": ""e-enable rich initiatives"", ""index"": ""5"", ""quantity"": 9.03, ""unit_price"": 71.04}, {""amount"": 168.14, ""description"": ""benchmark granular eyeballs"", ""index"": ""3"", ""quantity"": 2.44, ""unit_price"": 50.7}, {""amount"": 27.02, ""description"": ""incentivize intuitive models"", ""index"": ""4"", ""quantity"": 5.46, ""unit_price"": 76.84}, {""amount"": 47.4, ""description"": ""streamline e-business systems"", ""index"": ""1"", ""quantity"": 8.38, ""unit_price"": 30.05}, {""amount"": 65.8, ""description"": ""drive robust schemas"", ""index"": ""10"", ""quantity"": 4.08, ""unit_price"": 71.69}, {""amount"": 151.6, ""description"": ""deploy granular metrics"", ""index"": ""1"", ""quantity"": 4.05, ""unit_price"": 44.85}]","[{""amount"": 173.72, ""description"": ""brand intergated functionalities"", ""index"": ""6"", ""quantity"": 6.62, ""unit_price"": 42.92}, {""amount"": 289.21, ""description"": ""e-enable rich initiatives"", ""index"": ""5"", ""quantity"": 9.03, ""unit_price"": 71.04}, {""amount"": 168.14, ""description"": ""benchmark granular eyeballs"", ""index"": ""3"", ""quantity"": 2.44, ""unit_price"": 50.7}, {""amount"": 27.02, ""description"": ""incentivize intuitive models"", ""index"": ""4"", ""quantity"": 5.46, ""unit_price"": 76.84}, {""amount"": 47.4, ""description"": ""streamline e-business systems"", ""index"": ""1"", ""quantity"": 8.38, ""unit_price"": 30.05}, {""amount"": 65.8, ""description"": ""drive robust schemas"", ""index"": ""10"", ""quantity"": 4.08, ""unit_price"": 71.69}, {""amount"": 151.6, ""description"": ""deploy granular metrics"", ""index"": ""1"", ""quantity"": 4.05, ""unit_price"": 44.85}]"
validation,2937,20936.png,low,transposed_characters|ocr_char_confusion|transposed_characters,seller.address|buyer.name|seller.company_name,1,"Fernandez, Esparza and Roy","Fernandez, Esparza adn Roy",,,"90376 Pennington Villages Suite 541 Dawntown, NY 48730","90376 Pennington Villages Suite 541 Dawntown, NY 47830","Young, Hernandez and Contreras","Young, Hernandez and Contreras",Andrew Ponce,Andrew P0nce,,,"99683 Terry Union Apt. 192 New Amberberg, AS 62234","99683 Terry Union Apt. 192 New Amberberg, AS 62234",xRB97804032537,xRB97804032537,25.05.2012,25.05.2012,,,,,,,,,,,"[{""amount"": 60.08, ""description"": ""whiteboard proactive systems"", ""index"": ""8"", ""quantity"": 5.23, ""unit_price"": 32.56}]","[{""amount"": 60.08, ""description"": ""whiteboard proactive systems"", ""index"": ""8"", ""quantity"": 5.23, ""unit_price"": 32.56}]"
test,2938,20937.png,high,product_description_replace|missing_character|small_amount_delta|small_amount_delta|date_format_variation|case_variation|ocr_char_confusion|ocr_char_confusion|extra_space|transposed_characters|digit_transposition,products.1.description|products.0.quantity|products.1.unit_price|invoice.date|invoice.number|seller.company_name|products.0.description|buyer.name|buyer.company_name|products.1.quantity,2,Roth-Thompson,Roth-Thomps0n,,,"35564 Melton Hills Suite 860 Lake Dakotabury, FM 30894","35564 Melton Hills Suite 860 Lake Dakotabury, FM 30894",Shields PLC,Sheilds PLC,Erin Brown,Eri n Brown,,,"83133 Shannon Estates Apt. 306 South Lindsey, IA 59685","83133 Shannon Estates Apt. 306 South Lindsey, IA 59685",JXk13870320983,JXK13870320983,01.03.1999,01/03/1999,,,,,,,,,,,"[{""amount"": 338.57, ""description"": ""enhance B2C e-markets"", ""index"": ""9"", ""quantity"": 4.8, ""unit_price"": 47.88}, {""amount"": 366.35, ""description"": ""redefine viral initiatives"", ""index"": ""2"", ""quantity"": 5.02, ""unit_price"": 33.16}]","[{""amount"": 338.57, ""description"": ""enhance 82C e-markets"", ""index"": ""9"", ""quantity"": 6.6, ""unit_price"": 47.88}, {""amount"": 366.35, ""description"": ""implement distrbuted partnerships"", ""index"": ""2"", ""quantity"": 5.2, ""unit_price"": 35.15}]"
test,2939,20938.png,low,missing_character|decimal_rounding,seller.address|products.0.unit_price,6,Perez-West,Perez-West,,,"39428 Smith Meadows Suite 974 Lewisshire, PW 03993","39428 Smith Meadows Suite 974 Lwisshire, PW 03993",Rojas-Adams,Rojas-Adams,Scott Mueller,Scott Mueller,,,"73044 Potter Key Suite 103 Johnsontown, NE 71303","73044 Potter Key Suite 103 Johnsontown, NE 71303",dJi36418103866,dJi36418103866,16.02.2016,16.02.2016,,,,,,,,,,,"[{""amount"": 278.61, ""description"": ""matrix killer schemas"", ""index"": ""3"", ""quantity"": 8.92, ""unit_price"": 92.67}, {""amount"": 335.28, ""description"": ""productize killer users"", ""index"": ""3"", ""quantity"": 5.15, ""unit_price"": 47.7}, {""amount"": 270.65, ""description"": ""seize visionary web services"", ""index"": ""5"", ""quantity"": 3.95, ""unit_price"": 33.02}, {""amount"": 243.24, ""description"": ""deliver enterprise e-services"", ""index"": ""2"", ""quantity"": 6.23, ""unit_price"": 59.83}, {""amount"": 201.97, ""description"": ""orchestrate strategic communities"", ""index"": ""7"", ""quantity"": 6.71, ""unit_price"": 40.7}, {""amount"": 48.0, ""description"": ""transition 24/365 ROI"", ""index"": ""10"", ""quantity"": 1.0, ""unit_price"": 48.88}]","[{""amount"": 278.61, ""description"": ""matrix killer schemas"", ""index"": ""3"", ""quantity"": 8.92, ""unit_price"": 92.7}, {""amount"": 335.28, ""description"": ""productize killer users"", ""index"": ""3"", ""quantity"": 5.15, ""unit_price"": 47.7}, {""amount"": 270.65, ""description"": ""seize visionary web services"", ""index"": ""5"", ""quantity"": 3.95, ""unit_price"": 33.02}, {""amount"": 243.24, ""description"": ""deliver enterprise e-services"", ""index"": ""2"", ""quantity"": 6.23, ""unit_price"": 59.83}, {""amount"": 201.97, ""description"": ""orchestrate strategic communities"", ""index"": ""7"", ""quantity"": 6.71, ""unit_price"": 40.7}, {""amount"": 48.0, ""description"": ""transition 24/365 ROI"", ""index"": ""10"", ""quantity"": 1.0, ""unit_price"": 48.88}]"
test,2942,20941.png,medium,extra_space|small_amount_delta|ocr_char_confusion|extra_space|missing_character|extra_space,invoice.number|products.0.unit_price|buyer.address|products.0.description|seller.company_name|seller.address,1,West Group,West roup,,,"40464 Kristen Corners Lake Susanside, SD 44922","40464 Kristen Corners La ke Susanside, SD 44922",Howard-Bailey,Howard-Bailey,Ashley Farley,Ashley Farley,,,"83187 Phillips Crossroad Jessicaburgh, DE 56615","B3187 Phillips Crossroad Jessicaburgh, DE 56615",cUj40911700483,cUj4091 1700483,06.03.2015,06.03.2015,,,,,,,,,,,"[{""amount"": 383.91, ""description"": ""reinvent value-added networks"", ""index"": ""5"", ""quantity"": 8.25, ""unit_price"": 55.27}]","[{""amount"": 383.91, ""description"": ""reinvent value-added  networks"", ""index"": ""5"", ""quantity"": 8.25, ""unit_price"": 53.28}]"
validation,2948,20947.png,low,product_description_replace|digit_transposition|missing_character,products.0.description|products.2.quantity|buyer.company_name,7,Phillips Group,Phillips Group,,,"29764 Miranda Greens Apt. 544 Deannaview, VI 73737","29764 Miranda Greens Apt. 544 Deannaview, VI 73737","Key, Hobbs and Garcia","Key, Hobbs and Garia",Tracy Jimenez,Tracy Jimenez,,,"8721 Flores Roads Suite 059 South Patriciamouth, GA 60673","8721 Flores Roads Suite 059 South Patriciamouth, GA 60673",YFf32015504282,YFf32015504282,15.08.1998,15.08.1998,,,,,,,,,,,"[{""amount"": 372.98, ""description"": ""deliver turn-key web services"", ""index"": ""3"", ""quantity"": 3.17, ""unit_price"": 38.29}, {""amount"": 174.15, ""description"": ""grow out-of-the-box channels"", ""index"": ""6"", ""quantity"": 8.6, ""unit_price"": 89.14}, {""amount"": 45.52, ""description"": ""engage out-of-the-box interfaces"", ""index"": ""7"", ""quantity"": 6.34, ""unit_price"": 47.26}, {""amount"": 385.17, ""description"": ""orchestrate distributed ROI"", ""index"": ""3"", ""quantity"": 9.92, ""unit_price"": 91.08}, {""amount"": 380.65, ""description"": ""orchestrate cutting-edge solutions"", ""index"": ""3"", ""quantity"": 6.81, ""unit_price"": 30.45}, {""amount"": 13.31, ""description"": ""deliver user-centric markets"", ""index"": ""3"", ""quantity"": 6.62, ""unit_price"": 57.62}, {""amount"": 50.84, ""description"": ""revolutionize frictionless interfaces"", ""index"": ""10"", ""quantity"": 7.51, ""unit_price"": 98.66}]","[{""amount"": 372.98, ""description"": ""syndicate out-of-the-box initiatives"", ""index"": ""3"", ""quantity"": 3.17, ""unit_price"": 38.29}, {""amount"": 174.15, ""description"": ""grow out-of-the-box channels"", ""index"": ""6"", ""quantity"": 8.6, ""unit_price"": 89.14}, {""amount"": 45.52, ""description"": ""engage out-of-the-box interfaces"", ""index"": ""7"", ""quantity"": 6.43, ""unit_price"": 47.26}, {""amount"": 385.17, ""description"": ""orchestrate distributed ROI"", ""index"": ""3"", ""quantity"": 9.92, ""unit_price"": 91.08}, {""amount"": 380.65, ""description"": ""orchestrate cutting-edge solutions"", ""index"": ""3"", ""quantity"": 6.81, ""unit_price"": 30.45}, {""amount"": 13.31, ""description"": ""deliver user-centric markets"", ""index"": ""3"", ""quantity"": 6.62, ""unit_price"": 57.62}, {""amount"": 50.84, ""description"": ""revolutionize frictionless interfaces"", ""index"": ""10"", ""quantity"": 7.51, ""unit_price"": 98.66}]"
validation,2950,20949.png,low,product_description_shuffle|transposed_characters|small_amount_delta,products.0.description|products.1.description|products.0.unit_price,2,Garrett-Hernandez,Garrett-Hernandez,,,"374 Justin Light Suite 964 West Jasonville, MH 71657","374 Justin Light Suite 964 West Jasonville, MH 71657",Turner-Gibson,Turner-Gibson,Stephen Ali,Stephen Ali,,,"5865 Thomas Parkway Apt. 458 Port Danielbury, KY 59642","5865 Thomas Parkway Apt. 458 Port Danielbury, KY 59642",Wxc80478524262,Wxc80478524262,27.11.1997,27.11.1997,,,,,,,,,,,"[{""amount"": 350.45, ""description"": ""architect one-to-one deliverables"", ""index"": ""9"", ""quantity"": 9.75, ""unit_price"": 27.26}, {""amount"": 22.36, ""description"": ""harness seamless systems"", ""index"": ""8"", ""quantity"": 2.23, ""unit_price"": 61.52}]","[{""amount"": 350.45, ""description"": ""harness seamless systems"", ""index"": ""9"", ""quantity"": 9.75, ""unit_price"": 27.22}, {""amount"": 22.36, ""description"": ""architect one-to-one edliverables"", ""index"": ""8"", ""quantity"": 2.23, ""unit_price"": 61.52}]"
validation,2954,20953.png,low,product_description_shuffle,products.0.description|products.1.description|products.2.description|products.3.description,4,"Franco, Nelson and Mitchell","Franco, Nelson and Mitchell",,,"3818 Andrea Village Patriciaton, NY 36436","3818 Andrea Village Patriciaton, NY 36436",Wong-Ellis,Wong-Ellis,Megan Meadows,Megan Meadows,,,"74271 Sanchez Ville West Robertland, WI 39157","74271 Sanchez Ville West Robertland, WI 39157",cGY59149468967,cGY59149468967,19.11.2008,19.11.2008,,,,,,,,,,,"[{""amount"": 368.49, ""description"": ""empower killer e-commerce"", ""index"": ""8"", ""quantity"": 6.66, ""unit_price"": 19.09}, {""amount"": 22.33, ""description"": ""synthesize global action-items"", ""index"": ""6"", ""quantity"": 4.05, ""unit_price"": 80.94}, {""amount"": 255.69, ""description"": ""brand wireless niches"", ""index"": ""2"", ""quantity"": 2.68, ""unit_price"": 30.17}, {""amount"": 457.08, ""description"": ""facilitate value-added action-items"", ""index"": ""10"", ""quantity"": 6.36, ""unit_price"": 53.77}]","[{""amount"": 368.49, ""description"": ""synthesize global action-items"", ""index"": ""8"", ""quantity"": 6.66, ""unit_price"": 19.09}, {""amount"": 22.33, ""description"": ""brand wireless niches"", ""index"": ""6"", ""quantity"": 4.05, ""unit_price"": 80.94}, {""amount"": 255.69, ""description"": ""facilitate value-added action-items"", ""index"": ""2"", ""quantity"": 2.68, ""unit_price"": 30.17}, {""amount"": 457.08, ""description"": ""empower killer e-commerce"", ""index"": ""10"", ""quantity"": 6.36, ""unit_price"": 53.77}]"
